Ion;Wavelength;Unc.;Acc.
C I;447.8588;0.0005;
C I;447.8825;0.001;
C I;447.8825;0.001;
C II;449.128;0.004;D+
C II;449.128;0.004;D+
C II;449.128;0.004;E
C II;461.84;0.009;B+
C II;461.923;0.009;B
C II;462.035;0.003;D+
C II;462.035;0.003;B
C II;462.035;0.003;D+
C I;462.15695;0.00007;C+
C II;462.556;0.003;C+
C I;462.73438;0.00022;C
C II;462.744;0.004;C+
C II;462.998;0.004;C+
C II;463.763;0.004;B
C II;463.891;0.004;B
C III;464.742;0.01;B+
C III;465.025;0.01;B+
C III;465.147;0.01;B+
C IV;465.83;0.01;
C III;466.586;0.01;B
C I;467.14;0.01;
C I;467.666;0.01;E
C I;467.755;0.02;
C I;467.755;0.02;
C I;470.17;0.01;
C I;470.383;0.02;
C II;472.741;0.004;
C I;473.4262;0.0014;C
C II;473.46;0.009;C
C I;473.5165;0.0014;C
C II;473.546;0.002;B+
C II;473.797;0.001;B+
C I;473.8213;0.0014;C
C I;473.8466;0.0014;C
C I;474.257;0.0014;C
C II;474.477;0.001;B+
C II;474.728;0.002;B+
C I;476.23033;0.00011;C
C I;476.25252;0.00005;C
C I;476.66698;0.00014;C
C I;477.002392;0.000023;C
C I;477.173346;0.000016;C
C I;477.5907;0.0014;C
C I;477.708;0.01;
C I;478.3795;0.0014;
C I;479.171;0.0014;
C I;479.2649;0.0014;
C I;479.5878;0.0014;
C I;479.6082;0.0014;
C II;480.245;0.003;D+
C II;480.245;0.003;B
C II;480.245;0.003;D+
C I;480.625;0.02;
C I;480.867;0.01;
C I;481.2916;0.0014;C
C I;481.7371;0.0014;C
C I;482.6804;0.0014;C
C I;483.6764;0.0014;
C I;484.009;0.02;
C I;484.191;0.01;
C I;484.764;0.02;
C I;485.398;0.01;
C I;485.898;0.02;
C II;486.257;0.001;B
C II;486.707;0.002;B
C I;487.408;0.02;
C I;488;0.01;
C I;488.891;0.003;
C I;488.89402;0.00017;
C I;489.0645;0.0014;
C I;489.3429;0.0014;
C I;489.86421;0.00003;
C I;490.785;0.016;
C I;492.2688;0.0014;
C I;492.6416;0.0014;
C I;493.202553;0.000017;B
C I;494.2021;0.0014;
C I;494.3576;0.0014;
C V;494.388;0.01;
C V;494.456;0.01;
C I;495.11;0.03;
C II;495.385;0.001;B
C II;495.867;0.002;B+
C II;495.992;0.002;B
C II;496.473;0.001;B+
C I;499.1408;0.0014;
C I;499.643;0.016;
C I;499.793;0.016;
C I;501.018;0.016;
C I;501.2;0.003;
C I;501.2;0.003;C
C I;501.228;0.003;C
C I;501.228;0.003;
C I;501.709;0.003;
C I;501.709;0.003;C
C I;501.7761;0.0014;C
C I;501.807;0.003;C
C I;501.807;0.003;
C I;502.385;0.003;C
C I;502.385;0.003;
C I;502.4916;0.0014;C
C II;503.207;0.003;B
C II;503.591;0.003;B
C I;503.907;0.003;C
C I;503.907;0.003;
C I;504.0134;0.0014;C
C II;504.074;0.004;B
C I;504.1481;0.0014;C
C II;504.176;0.004;C
C I;504.18;0.003;C
C I;504.18;0.003;C
C II;504.435;0.001;C+
C II;504.498;0.002;C
C I;504.519;0.016;
C II;504.711;0.001;C
C II;504.924;0.002;C
C I;505.214919;0.000015;B
C I;505.3515;0.0014;C
C I;505.449;0.016;
C I;505.7682;0.0014;
C I;505.867;0.016;
C I;505.9656;0.0014;
C I;506.4147;0.0014;
C I;507.6592;0.0014;
C I;508.9632;0.0014;
C II;510.791;0.009;B
C II;511.369;0.005;B
C II;511.369;0.005;C
C II;511.426;0.003;B
C II;511.675;0.004;
C II;511.945;0.003;C+
C II;512.01;0.005;B
C II;512.01;0.005;C
C II;512.182;0.001;B
C II;512.215;0.004;B
C II;512.215;0.004;B
C II;512.215;0.004;C
C II;512.52;0.001;B
C II;512.693;0.002;B
C II;513.294;0.001;B+
C II;513.328;0.001;B+
C II;513.726;0.001;B
C II;513.917;0.001;B
C II;514.349;0.001;B+
C II;514.516;0.001;B+
C II;515.109;0.001;B+
C I;515.3571;0.0014;
C I;515.5292;0.0014;
C I;515.53;0.016;
C I;515.992;0.0014;
C II;524.951;0.002;B
C II;525.357;0.003;B
C II;525.609;0.002;B
C II;525.724;0.001;B
C II;525.906;0.001;B+
C II;525.971;0.005;B
C II;525.971;0.005;B
C I;526.8956;0.0014;C
C I;528.0238;0.0014;
C II;528.647;0.004;C
C I;528.8315;0.0014;
C II;529.009;0.01;C
C II;529.009;0.01;C
C I;529.1224;0.0014;
C I;529.693;0.0014;D
C I;530.0118;0.0014;
C I;530.055;0.0014;
C I;530.0845;0.0014;D
C I;530.2352;0.0014;D
C I;530.313;0.016;
C I;530.6315;0.0014;D
C I;530.6837;0.0014;D
C I;531.7465;0.0014;
C II;533.289;0.003;B
C II;533.479;0.003;B
C II;533.985;0.004;
C II;533.985;0.004;
C II;533.985;0.004;
C II;533.985;0.004;
C II;534.239;0.004;B
C II;534.239;0.004;B
C II;534.239;0.004;D+
C II;536.767;0.004;C
C II;536.858;0.004;B
C II;536.858;0.004;B
C II;536.858;0.004;B
C I;538.03308;0.00003;B
C I;540.16;0.03;
C I;543.688;0.016;
C II;547.859;0.001;C
C II;548.335;0.002;C
C II;548.59;0.002;C+
C II;548.895;0.002;C
C II;549.016;0.002;C
C I;550.851;0.016;
C I;551.069;0.016;
C I;551.48;0.03;
C I;551.5691;0.0014;
C I;551.6643;0.0014;
C I;552.35;0.03;
C I;552.6833;0.0014;
C I;552.9781;0.0014;
C I;553.204;0.016;
C I;553.4807;0.0014;
C II;553.535;0.001;B
C II;553.761;0.001;B
C I;554.0756;0.0014;D
C I;554.3817;0.0014;
C I;554.507;0.003;D
C I;554.507;0.003;
C I;554.7271;0.0014;D
C I;554.8239;0.0014;
C I;554.8902;0.0014;
C I;555.1032;0.0014;D
C I;555.1589;0.0014;D
C I;555.3174;0.0014;
C I;557.73;0.03;
C I;559.73;0.0014;
C I;560.3733;0.0014;D
C I;561.24;0.03;
C I;561.4809;0.0014;D
C I;561.649;0.0014;D
C I;562.304;0.016;
C I;562.556;0.016;
C I;562.993;0.0014;
C II;564.055;0.001;B
C I;564.277;0.016;
C II;564.807;0.001;B+
C I;564.81;0.03;
C II;566.247;0.001;B
C I;566.8951;0.0014;C
C I;569.311;0.0014;
C II;569.43;0.002;C
C III;569.592;0.01;B
C II;570.116;0.019;
C II;570.116;0.019;C
C II;570.803;0.002;C
C II;571.251;0.002;C
C II;571.356;0.002;C
C I;572.0779;0.0014;
C I;578.784;0.016;
C II;579.177;0.009;C+
C I;579.3116;0.0014;B
C II;579.32;0.008;C+
C I;579.4459;0.0014;C+
C I;579.8895;0.0014;
C I;580.0232;0.0014;C+
C I;580.0594;0.0014;B
C IV;580.133;0.01;A
C I;580.5192;0.0014;C+
C I;580.58;0.003;
C I;580.58;0.003;D
C IV;581.198;0.01;A
C I;581.351;0.0014;D
C I;581.7701;0.0014;D
C II;581.83;0.002;B
C I;581.9499;0.0014;D
C I;582.16;0.03;
C II;582.314;0.01;B
C II;582.314;0.01;B
C I;582.4643;0.0014;D
C III;582.642;0.01;B
C II;582.785;0.002;B
C II;583.635;0.001;B
C II;584.361;0.002;B
C I;584.6346;0.0014;
C I;585.0254;0.0014;
C II;585.604;0.001;B
C I;586.4948;0.0014;
C I;587.0655;0.0014;
C I;587.731;0.003;D
C II;588.927;0.001;B
C I;588.9515;0.0014;D
C II;588.977;0.001;B
C II;589.159;0.001;B
C I;589.2;0.0014;D
C II;590.721;0.001;C+
C I;591.2577;0.0014;
C II;591.464;0.001;C+
C II;591.945;0.001;C
C I;594.01;0.0014;
C I;594.3389;0.0014;
C I;594.7607;0.0014;
C I;595.004;0.0014;
C I;595.2133;0.0014;
C I;596.3989;0.0014;
C I;596.9326;0.0014;C
C I;597.0726;0.0014;
C I;597.2588;0.0014;
C I;598.1221;0.0014;
C I;598.2275;0.0014;
C I;598.2671;0.0014;
C I;598.426;0.0014;
C I;598.9014;0.0014;
C I;598.9401;0.0014;
C I;599.6057;0.0014;D
C I;600.1126;0.0014;D
C I;600.2982;0.0014;D
C I;600.3666;0.0014;D
C I;600.6028;0.0014;D
C I;600.7178;0.0014;D
C I;601.0679;0.0014;D
C I;601.2236;0.0014;D
C I;601.322;0.003;D
C I;601.322;0.003;D
C I;601.4845;0.0014;D
C I;601.6449;0.0014;D
C I;601.9866;0.0014;D
C II;603.796;0.004;C+
C I;603.9171;0.0014;
C I;604.2457;0.0014;
C I;604.4793;0.0014;
C I;606.2089;0.0014;D
C I;606.8267;0.0014;
C I;607.0833;0.0014;D
C I;607.8395;0.0014;D
C I;607.9771;0.0014;
C I;608.6686;0.0014;
C I;609.2837;0.0014;
C I;609.4298;0.0014;
C II;609.529;0.002;B
C II;609.851;0.002;B+
C I;609.8923;0.0014;
C I;610.0028;0.0014;D
C I;610.0459;0.0014;
C II;610.256;0.002;B
C I;610.7653;0.0014;D
C I;610.8526;0.0014;D
C I;611.315;0.0014;D
C I;611.585;0.0014;D
C I;612.0818;0.0014;D
C II;615.143;0.003;B
C II;615.143;0.003;B
C II;615.143;0.003;C
C I;623.7265;0.0014;
C I;624.2699;0.0014;
C II;624.657;0.004;C
C II;625.074;0.002;C+
C II;625.384;0.004;C
C II;625.654;0.004;C+
C II;625.7117;0.0018;B
C II;625.959;0.003;B
C II;625.959;0.003;B
C II;627.579;0.004;C
C II;628.456;0.004;C
C II;629.001;0.004;C
C I;629.2366;0.0014;D
C II;629.52;0.004;C
C I;633.5704;0.0014;
C I;633.7196;0.0014;
C I;634.2315;0.0014;
C I;637.8791;0.0014;
C II;638.572;0.004;C+
C I;638.9871;0.0014;
C I;639.7979;0.0014;D
C I;641.3553;0.0014;D
C I;641.7544;0.0014;D
C I;642.924;0.016;
C II;645.477;0.004;
C II;645.477;0.004;
C II;645.477;0.004;
C II;645.477;0.004;
C II;646.185;0.004;B
C II;646.185;0.004;B
C II;646.185;0.004;C
C I;656.8708;0.0014;D
C II;657.80481;0.00008;A
C I;657.8772;0.0014;
C II;658.28764;0.00012;A
C I;658.6273;0.0014;D
C I;658.7608;0.0014;B
